provinceName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,date
山东省,14,760,0,739,7,2020-03-13
湖北省,13171,67786,0,51553,3062,2020-03-13
北京市,86,436,0,342,8,2020-03-13
广东省,52,1356,0,1296,8,2020-03-13
湖南省,10,1018,0,1004,4,2020-03-13
四川省,36,539,0,500,3,2020-03-13
贵州省,4,146,0,140,2,2020-03-13
江苏省,1,631,0,630,0,2020-03-13
山东省,15,760,0,739,6,2020-03-13
黑龙江省,23,482,0,446,13,2020-03-13
广西壮族自治区,7,252,0,243,2,2020-03-13
上海市,22,346,0,321,3,2020-03-13
河北省,2,318,0,310,6,2020-03-13
重庆市,6,576,0,564,6,2020-03-13
黑龙江省,28,482,0,441,13,2020-03-12
吉林省,0,93,0,92,1,2020-03-12
四川省,38,539,0,498,3,2020-03-12
湖北省,14407,67781,0,50318,3056,2020-03-12
四川省,40,539,0,496,3,2020-03-12
湖南省,15,1018,0,999,4,2020-03-12
辽宁省,12,125,0,112,1,2020-03-12
山西省,1,133,0,132,0,2020-03-12
天津市,1,136,0,132,3,2020-03-12
山东省,20,760,0,734,6,2020-03-12
上海市,20,344,0,321,3,2020-03-12
湖北省,14409,67781,0,50316,3056,2020-03-12
河北省,4,318,0,308,6,2020-03-12
河南省,2,1273,0,1249,22,2020-03-12
江苏省,2,631,0,629,0,2020-03-12
广东省,59,1356,0,1289,8,2020-03-12
四川省,41,539,0,495,3,2020-03-12
海南省,2,168,0,160,6,2020-03-12
江西省,0,935,0,934,1,2020-03-12
广东省,11,1356,0,1288,8,2020-03-12
陕西省,14427,245,0,232,2,2020-03-12
湖北省,17,67781,0,50298,3056,2020-03-12
浙江省,93,1215,0,1197,1,2020-03-12
北京市,3,435,0,334,8,2020-03-12
江苏省,7,631,0,628,0,2020-03-12
贵州省,42,146,0,137,2,2020-03-12
四川省,16,539,0,494,3,2020-03-12
湖南省,21,1018,0,998,4,2020-03-12
山东省,9,760,0,733,6,2020-03-12
广西壮族自治区,29,252,0,241,2,2020-03-12
黑龙江省,16,482,0,440,13,2020-03-12
重庆市,48,576,0,554,6,2020-03-12
四川省,37,539,0,488,3,2020-03-11
甘肃省,33,127,0,88,2,2020-03-11
黑龙江省,28,482,0,436,13,2020-03-11
山东省,12,760,0,726,6,2020-03-11
广西壮族自治区,15593,252,0,238,2,2020-03-11
湖北省,66,67773,0,49134,3046,2020-03-11
广东省,29,1356,0,1282,8,2020-03-11
山东省,19,760,0,725,6,2020-03-11
浙江省,12,1215,0,1195,1,2020-03-11
陕西省,3,245,0,232,1,2020-03-11
宁夏回族自治区,33,75,0,72,0,2020-03-11
山东省,2,760,0,721,6,2020-03-11
河南省,15665,1273,0,1249,22,2020-03-11
湖北省,21,67773,0,49062,3046,2020-03-11
重庆市,13,576,0,549,6,2020-03-11
陕西省,51,245,0,231,1,2020-03-11
四川省,3,539,0,485,3,2020-03-11
内蒙古自治区,21,75,0,71,1,2020-03-11
上海市,11,344,0,320,3,2020-03-11
贵州省,32,146,0,133,2,2020-03-11
山东省,21,759,0,721,6,2020-03-11
浙江省,63,1215,0,1193,1,2020-03-11
广东省,2,1353,0,1282,8,2020-03-11
江西省,15671,935,0,932,1,2020-03-11
湖北省,101,67773,0,49056,3046,2020-03-11
北京市,52,435,0,326,8,2020-03-11
四川省,19,539,0,484,3,2020-03-11
